Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
3M India Ltd.,3MINDIA,7,1,21950.0,21999.0,21126.05,21854.05,21575.0,-279.05,0,4159,89653566.68,27800.0,17273.0,-10.18,8.22
Aarti Drugs Ltd.,AARTIDRUGS,11,1,400.5,401.8,394.1,403.85,400.0,-3.85,0,31782,12627306.42,749.75,378.0,-42.92,-5.1
Aavas Financiers Ltd.,AAVAS,9,1,1997.1,2004.05,1894.5,2015.45,1943.15,-72.3,0,150704,290772818.72,3340.0,1815.0,-25.69,-9.39
ABB India Ltd.,ABB,1,1,2260.35,2311.5,2260.35,2300.9,2280.0,-20.9,0,97053,221093527.71,2487.85,1618.05,27.25,-5.21
Abbott India Ltd.,ABBOTINDIA,11,1,18700.4,19200.0,18605.0,18760.4,19199.8,439.4,1,12396,234676981.32,23934.45,15514.0,11.61,5.84
Aditya Birla Capital Ltd.,ABCAPITAL,9,1,89.0,90.6,88.35,89.4,90.25,0.85,1,2401323,215182554.03,139.2,85.6,-23.75,-11.57
Aditya Birla Fashion and Retail Ltd.,ABFRL,6,1,235.6,243.5,235.6,237.05,242.2,5.15,1,1014277,243548193.24,322.0,189.35,9.87,-12.62
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,9,1,400.05,406.7,400.0,400.05,405.9,5.85,1,34489,13901826.12,722.9,375.0,-11.06,-5.09
ACC Ltd.,ACC,4,1,2122.95,2174.0,2122.95,2121.95,2171.7,49.75,1,284645,613620612.3,2589.0,1900.0,5.32,-3.48
Adani Enterprises Ltd.,ADANIENT,14,1,2189.9,2242.0,2138.25,2190.9,2229.25,38.35,1,2141743,4695578770.63,2420.95,1332.75,45.33,1.08
Adani Green Energy Ltd.,ADANIGREEN,16,1,1928.0,1978.9,1902.0,1929.6,1963.25,33.65,1,1206875,2344656406.25,3050.0,874.8,-11.06,2.15
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,18,1,670.0,680.0,656.0,672.05,678.3,6.25,1,3151179,2105491760.64,924.65,651.95,-4.5,-9.16
Adani Transmission Ltd.,ADANITRANS,16,1,2500.0,2583.7,2226.3,2473.65,2452.0,-21.65,0,741152,1847854989.44,3000.0,863.0,-11.06,20.37
Advanced Enzyme Tech Ltd.,ADVENZYMES,8,1,266.2,268.7,258.4,266.2,264.0,-2.2,0,40076,10549606.24,435.95,258.4,-35.78,-7.02
Aegis Logistics Ltd.,AEGISCHEM,15,1,208.7,212.6,205.15,209.0,211.45,2.45,1,247355,51731824.7,386.0,167.25,-39.22,-3.95
Affle (India) Ltd.,AFFLE,12,1,1060.0,1060.3,1004.65,1060.3,1010.0,-50.3,0,241660,246983769.8,1511.0,763.02,-11.06,0.78
AIA Engineering Ltd.,AIAENG,1,1,2233.8,2242.45,2170.2,2223.8,2210.0,-13.8,0,42620,94240491.6,2350.0,1475.05,3.91,-2.37
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,11,1,1233.0,1275.05,1229.35,1235.6,1265.9,30.3,1,109740,137293519.2,2435.0,1186.0,-42.5,-27.87
Alkem Laboratories Ltd.,ALKEM,11,1,2995.0,3035.0,2970.95,2998.55,3011.25,12.7,1,21837,65524757.31,4070.0,2828.0,-6.28,-4.78
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,2,1,2525.0,2609.9,2506.2,2517.65,2552.85,35.2,1,26377,67248425.27,4749.0,2506.2,-30.0,-7.77
Allcargo Logistics Ltd.,ALLCARGO,18,1,259.0,271.5,256.0,262.95,269.0,6.05,1,502907,133391052.68,412.0,152.5,64.5,-17.76
Alok Industries Ltd.,ALOKINDS,20,0,22.3,22.3,21.5,22.0,21.55,-0.45,0,1040692,22645457.92,35.8,18.85,-11.06,-6.01
Amara Raja Batteries Ltd.,AMARAJABAT,0,1,459.1,471.7,456.05,458.7,469.5,10.8,1,438273,202727558.88,781.6,438.05,-38.43,-8.69
Amber Enterprises India Ltd.,AMBER,5,1,2251.0,2348.2,2251.0,2246.65,2325.0,78.35,1,85424,197744600.64,4025.95,2040.0,-23.22,-14.67
Ambuja Cements Ltd.,AMBUJACEM,4,1,363.95,368.6,362.1,363.0,367.5,4.5,1,2763265,1011078663.5,442.5,274.0,6.56,-1.73
Angel One Ltd.,ANGELONE,9,1,1202.0,1228.0,1185.0,1206.2,1216.05,9.85,1,414524,499671374.84,2022.0,839.05,-11.06,-18.25
Anupam Rasayan India Ltd.,ANURAS,2,1,610.0,626.2,604.6,610.1,620.7,10.6,1,37228,22843845.36,1107.55,546.75,-19.72,-11.28
APL Apollo Tubes Ltd.,APLAPOLLO,1,1,843.9,855.0,836.0,849.95,845.1,-4.85,0,165325,139906281.25,1114.55,718.08,-47.83,-9.31
Alembic Pharmaceuticals Ltd.,APLLTD,11,1,727.75,731.6,717.0,728.25,729.9,1.65,1,63552,46195948.8,1016.7,678.3,-26.01,-0.51
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,11,1,3680.0,3745.0,3635.2,3683.5,3732.0,48.5,1,316894,1169161399.36,5935.4,3361.55,1.76,-7.43
Apollo Tyres Ltd.,APOLLOTYRE,0,1,185.7,190.0,184.3,185.1,188.9,3.8,1,1276512,238682213.76,250.0,165.25,-17.73,-15.23
Aptus Value Housing Finance India Ltd.,APTUS,9,1,276.5,294.7,274.3,281.8,293.65,11.85,1,449163,128519009.19,394.9,220.1,-11.06,-1.38
Asahi India Glass Ltd.,ASAHIINDIA,0,1,536.8,549.0,530.25,539.6,548.0,8.4,1,261012,140842075.2,612.9,324.65,60.43,20.85
Ashok Leyland Ltd.,ASHOKLEY,1,1,148.0,149.0,144.65,147.8,146.4,-1.4,0,19976245,2920926543.9,153.5,93.2,20.55,7.49
Asian Paints Ltd.,ASIANPAINT,5,1,2704.9,2780.0,2685.0,2695.2,2769.65,74.45,1,1477191,4055317680.39,3590.0,2560.0,-9.94,-5.75
Aster DM Healthcare Ltd.,ASTERDM,11,1,179.55,179.55,174.3,178.0,176.0,-2.0,0,92393,16259320.14,237.0,148.4,15.55,-10.84
Astral Ltd.,ASTRAL,1,1,1651.0,1664.95,1639.9,1655.5,1657.0,1.5,1,125312,207061789.44,2524.95,1581.55,-16.79,-4.3
AstraZenca Pharma India Ltd.,ASTRAZEN,11,1,2700.0,2727.0,2664.0,2705.2,2724.0,18.8,1,4613,12434526.02,3675.0,2445.7,-25.09,-10.05
Adani Total Gas Ltd.,ATGL,15,1,2392.55,2442.95,2370.0,2392.9,2389.0,-3.9,0,436503,1045280639.01,2740.0,774.95,-11.06,-0.21
Atul Ltd.,ATUL,2,1,7988.55,8070.0,7891.0,8030.8,8012.0,-18.8,0,10672,85048369.6,10969.0,7750.0,-10.55,-1.4
AU Small Finance Bank Ltd.,AUBANK,9,1,586.0,587.3,563.3,591.7,580.0,-11.7,0,2741511,1574011125.54,732.98,462.5,-42.88,-52.72
Aurobindo Pharma Ltd.,AUROPHARMA,11,1,512.25,524.0,506.5,513.1,522.75,9.65,1,831959,429032936.71,1013.0,503.45,-46.84,-3.33
Avanti Feeds Ltd.,AVANTIFEED,8,1,432.85,436.5,425.0,432.85,436.0,3.15,1,142890,61885659.0,674.85,384.2,-20.7,0.87
Axis Bank Ltd.,AXISBANK,9,1,633.0,646.6,631.8,636.8,644.0,7.2,1,6549359,4191262292.05,866.9,618.25,-14.9,-7.06
Bajaj Auto Ltd.,BAJAJ-AUTO,0,1,3667.95,3678.7,3601.1,3706.6,3621.7,-84.9,0,756589,2746788798.61,4250.0,3027.05,-10.34,-4.08
Bajaj Electricals Ltd,BAJAJELEC,5,1,1021.0,1048.0,1000.2,1023.95,1042.0,18.05,1,326410,335030488.1,1588.95,858.55,-0.29,3.41
Bajaj Finserv Ltd.,BAJAJFINSV,9,1,10920.0,11343.0,10727.2,10931.75,11315.0,383.25,1,408983,4572364502.72,19325.0,10727.2,-9.72,-15.48
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,9,1,4534.9,4655.0,4511.0,4585.2,4570.0,-15.2,0,59937,275246886.99,6598.0,3586.0,26.86,-10.33
Bajaj Finance Ltd.,BAJFINANCE,9,1,5364.0,5633.95,5335.05,5400.5,5617.95,217.45,1,1221890,6717694623.1,8050.0,5220.0,-10.23,-11.21
Balaji Amines Ltd.,BALAMINES,2,1,2860.0,2897.0,2831.7,2867.3,2889.0,21.7,1,21727,62488155.62,5223.55,2651.0,7.24,-10.79
Balkrishna Industries Ltd.,BALKRISIND,0,1,2125.0,2179.0,2109.5,2149.15,2178.85,29.7,1,142057,304220747.78,2723.8,1690.55,-4.02,-8.11
Balrampur Chini Mills Ltd.,BALRAMCHIN,8,1,360.0,362.5,354.65,359.45,360.7,1.25,1,1214196,435192130.32,525.9,297.6,1.05,-11.1
Bandhan Bank Ltd.,BANDHANBNK,9,1,262.5,266.0,259.05,263.5,265.0,1.5,1,5414612,1423501494.8,349.55,229.55,-20.21,-19.16
Bank of Baroda,BANKBARODA,9,1,97.6,97.8,95.6,97.4,97.35,-0.05,0,32287305,3114433440.3,122.7,72.5,13.39,-2.84
Bank of India,BANKINDIA,9,1,44.2,45.0,43.9,44.35,44.9,0.55,1,1053018,46711878.48,80.75,40.4,-43.07,-7.51
BASF India Ltd.,BASF,2,1,2727.0,2759.95,2626.95,2728.55,2720.0,-8.55,0,19400,52420740.0,3930.0,2351.0,4.97,6.81
Bata India Ltd.,BATAINDIA,5,1,1665.0,1706.95,1650.0,1668.7,1705.0,36.3,1,122583,206081636.28,2262.0,1550.0,4.51,-11.11
Bayer Cropscience Ltd.,BAYERCROP,2,1,5032.15,5135.0,4982.0,5007.15,5105.0,97.85,1,5806,29271761.84,6130.0,4218.05,-13.5,-7.24
Bombay Burmah Trading Corporation Ltd.,BBTC,8,1,891.0,924.0,891.0,903.25,924.0,20.75,1,20192,18467603.2,1353.15,839.9,-31.75,-9.45
